"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","44.8",""
"Albania","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","45.4",""
"Albania","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","45.9",""
"Albania","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","46.4",""
"Albania","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","48.2",""
"Albania","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","50.1",""
"Albania","Female 15-24 yr","2006","ILO_KILM Database 5ed_2007","Percent","32.6",""
"Albania","Female 15-24 yr","2005","ILO_KILM Database 5ed_2007","Percent","32.7",""
"Albania","Female 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","32.8",""
"Albania","Female 15-24 yr","2003","ILO_KILM Database 5ed_2007","Percent","32.3",""
"Albania","Female 15-24 yr","2002","ILO_KILM Database 5ed_2007","Percent","31.4",""
"Albania","Female 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","31.5",""
"Albania","Female 15-24 yr","2000","ILO_KILM Database 5ed_2007","Percent","31.6",""
"Albania","Female 15-24 yr","1999","ILO_KILM Database 5ed_2007","Percent","31.7",""
"Albania","Female 15-24 yr","1998","ILO_KILM Database 5ed_2007","Percent","31.8",""
"Albania","Female 15-24 yr","1997","ILO_KILM Database 5ed_2007","Percent","32.6",""
"Albania","Female 15-24 yr","1996","ILO_KILM Database 5ed_2007","Percent","32.2",""
"Albania","Female 15-24 yr","1995","ILO_KILM Database 5ed_2007","Percent","32.2",""
"Albania","Female 15-24 yr","1994","ILO_KILM Database 5ed_2007","Percent","32.3",""
"Albania","Female 15-24 yr","1993","ILO_KILM Database 5ed_2007","Percent","32.5",""
"Albania","Female 15-24 yr","1992","ILO_KILM Database 5ed_2007","Percent","34.8",""
"Albania","Female 15-24 yr","1991","ILO_KILM Database 5ed_2007","Percent","37.2",""
"Albania","Male 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","60.0",""
"Albania","Male 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","60.7",""
"Albania","Male 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","60.9",""
"Albania","Male 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","61.2",""
"Albania","Male 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","60.6",""
"Albania","Male 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","61.1",""
"Albania","Male 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","62.0",""
"Albania","Male 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","62.9",""
"Albania","Male 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","64.2",""
"Albania","Male 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","66.5",""
"Albania","Male 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","66.1",""
"Albania","Male 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","67.0",""
"Albania","Male 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","67.4",""
"Albania","Male 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","67.6",""
"Albania","Male 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","70.1",""
"Albania","Male 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","72.6",""
"Albania","Male 15-24 yr","2006","ILO_KILM Database 5ed_2007","Percent","40.8",""
"Albania","Male 15-24 yr","2005","ILO_KILM Database 5ed_2007","Percent","41.8",""
"Albania","Male 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","40.7",""
"Albania","Male 15-24 yr","2003","ILO_KILM Database 5ed_2007","Percent","40.3",""
"Albania","Male 15-24 yr","2002","ILO_KILM Database 5ed_2007","Percent","39.1",""
"Albania","Male 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","38.5",""
"Albania","Male 15-24 yr","2000","ILO_KILM Database 5ed_2007","Percent","39.2",""
"Albania","Male 15-24 yr","1999","ILO_KILM Database 5ed_2007","Percent","40.0",""
"Albania","Male 15-24 yr","1998","ILO_KILM Database 5ed_2007","Percent","42.5",""
"Albania","Male 15-24 yr","1997","ILO_KILM Database 5ed_2007","Percent","45.5",""
"Albania","Male 15-24 yr","1996","ILO_KILM Database 5ed_2007","Percent","43.8",""
"Albania","Male 15-24 yr","1995","ILO_KILM Database 5ed_2007","Percent","45.6",""
"Albania","Male 15-24 yr","1994","ILO_KILM Database 5ed_2007","Percent","45.3",""
"Albania","Male 15-24 yr","1993","ILO_KILM Database 5ed_2007","Percent","45.0",""
"Albania","Male 15-24 yr","1992","ILO_KILM Database 5ed_2007","Percent","48.4",""
"Albania","Male 15-24 yr","1991","ILO_KILM Database 5ed_2007","Percent","51.9",""
"Algeria","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","30.7",""
"Algeria","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","29.9",""
"Algeria","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","27.4",""
"Algeria","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","25.1",""
"Algeria","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","23.9",""
"Algeria","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","22.7",""
"Algeria","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","21.3",""
"Algeria","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","20.6",""
"Algeria","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","21.5",""
"Algeria","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","20.1",""
"Algeria","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","18.6",""
"Algeria","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","18.1",""
"Algeria","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","18.1",""
"Algeria","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","17.6",""
"Algeria","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","17.0",""
"Algeria","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","16.5",""
"Algeria","Female 15-24 yr","2006","ILO_KILM Database 5ed_2007","Percent","19.8",""
"Algeria","Female 15-24 yr","2005","ILO_KILM Database 5ed_2007","Percent","19.4",""
"Algeria","Female 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","16.7",""
"Algeria","Female 15-24 yr","2003","ILO_KILM Database 5ed_2007","Percent","15.0",""
"Algeria","Female 15-24 yr","2002","ILO_KILM Database 5ed_2007","Percent","13.7",""
"Algeria","Female 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","12.7",""
"Algeria","Female 15-24 yr","2000","ILO_KILM Database 5ed_2007","Percent","11.5",""
"Algeria","Female 15-24 yr","1999","ILO_KILM Database 5ed_2007","Percent","11.4",""
"Algeria","Female 15-24 yr","1998","ILO_KILM Database 5ed_2007","Percent","13.0",""
"Algeria","Female 15-24 yr","1997","ILO_KILM Database 5ed_2007","Percent","11.9",""
"Algeria","Female 15-24 yr","1996","ILO_KILM Database 5ed_2007","Percent","10.9",""
"Algeria","Female 15-24 yr","1995","ILO_KILM Database 5ed_2007","Percent","10.7",""
"Algeria","Female 15-24 yr","1994","ILO_KILM Database 5ed_2007","Percent","11.3",""
"Algeria","Female 15-24 yr","1993","ILO_KILM Database 5ed_2007","Percent","11.1",""
"Algeria","Female 15-24 yr","1992","ILO_KILM Database 5ed_2007","Percent","10.9",""
"Algeria","Female 15-24 yr","1991","ILO_KILM Database 5ed_2007","Percent","10.7",""
"Algeria","Male 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","68.7",""
"Algeria","Male 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","68.3",""
"Algeria","Male 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","64.4",""
"Algeria","Male 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","61.5",""
"Algeria","Male 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","59.8",""
"Algeria","Male 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","58.3",""
"Algeria","Male 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","56.8",""
"Algeria","Male 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","56.8",""
"Algeria","Male 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","60.9",""
"Algeria","Male 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","59.0",""
"Algeria","Male 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","57.0",""
"Algeria","Male 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","56.9",""
"Algeria","Male 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","58.6",""
"Algeria","Male 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","58.5",""
"Algeria","Male 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","58.2",""
"Algeria","Male 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","58.1",""
"Algeria","Male 15-24 yr","2006","ILO_KILM Database 5ed_2007","Percent","45.8",""
"Algeria","Male 15-24 yr","2005","ILO_KILM Database 5ed_2007","Percent","45.6",""
"Algeria","Male 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","40.3",""
"Algeria","Male 15-24 yr","2003","ILO_KILM Database 5ed_2007","Percent","36.5",""
"Algeria","Male 15-24 yr","2002","ILO_KILM Database 5ed_2007","Percent","34.7",""
"Algeria","Male 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","33.1",""
"Algeria","Male 15-24 yr","2000","ILO_KILM Database 5ed_2007","Percent","30.8",""
"Algeria","Male 15-24 yr","1999","ILO_KILM Database 5ed_2007","Percent","31.0",""
"Algeria","Male 15-24 yr","1998","ILO_KILM Database 5ed_2007","Percent","36.1",""
"Algeria","Male 15-24 yr","1997","ILO_KILM Database 5ed_2007","Percent","33.8",""
"Algeria","Male 15-24 yr","1996","ILO_KILM Database 5ed_2007","Percent","31.5",""
"Algeria","Male 15-24 yr","1995","ILO_KILM Database 5ed_2007","Percent","31.3",""
"Algeria","Male 15-24 yr","1994","ILO_KILM Database 5ed_2007","Percent","33.1",""
"Algeria","Male 15-24 yr","1993","ILO_KILM Database 5ed_2007","Percent","32.9",""
"Algeria","Male 15-24 yr","1992","ILO_KILM Database 5ed_2007","Percent","32.6",""
"Algeria","Male 15-24 yr","1991","ILO_KILM Database 5ed_2007","Percent","32.5",""
"Angola","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","67.5",""
"Angola","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","67.8",""
"Angola","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","67.4",""
"Angola","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","66.9",""
"Angola","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","67.6",""
"Angola","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","67.3",""
"Angola","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","67.4",""
"Angola","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","67.4",""
"Angola","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","67.4",""
"Angola","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","67.9",""
"Angola","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","68.8",""
"Angola","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","68.6",""
"Angola","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","67.3",""
"Angola","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","66.1",""
"Angola","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","66.7",""
"Angola","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","67.3",""
"Angola","Female 15-24 yr","2006","ILO_KILM Database 5ed_2007","Percent","60.6",""
"Angola","Female 15-24 yr","2005","ILO_KILM Database 5ed_2007","Percent","61.3",""
"Angola","Female 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","60.4",""
"Angola","Female 15-24 yr","2003","ILO_KILM Database 5ed_2007","Percent","58.9",""
"Angola","Female 15-24 yr","2002","ILO_KILM Database 5ed_2007","Percent","60.5",""
"Angola","Female 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","60.3",""
"Angola","Female 15-24 yr","2000","ILO_KILM Database 5ed_2007","Percent","60.2",""
"Angola","Female 15-24 yr","1999","ILO_KILM Database 5ed_2007","Percent","59.9",""
"Angola","Female 15-24 yr","1998","ILO_KILM Database 5ed_2007","Percent","60.2",""
"Angola","Female 15-24 yr","1997","ILO_KILM Database 5ed_2007","Percent","61.5",""
"Angola","Female 15-24 yr","1996","ILO_KILM Database 5ed_2007","Percent","63.2",""
"Angola","Female 15-24 yr","1995","ILO_KILM Database 5ed_2007","Percent","62.9",""
"Angola","Female 15-24 yr","1994","ILO_KILM Database 5ed_2007","Percent","58.2",""
"Angola","Female 15-24 yr","1993","ILO_KILM Database 5ed_2007","Percent","56.9",""
"Angola","Female 15-24 yr","1992","ILO_KILM Database 5ed_2007","Percent","56.7",""
"Angola","Female 15-24 yr","1991","ILO_KILM Database 5ed_2007","Percent","59.1",""
"Angola","Male 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","83.0",""
"Angola","Male 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","83.3",""
"Angola","Male 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","82.8",""
"Angola","Male 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","81.6",""
"Angola","Male 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","82.6",""
"Angola","Male 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","82.8",""
"Angola","Male 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","82.6",""
"Angola","Male 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","82.3",""
"Angola","Male 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","82.6",""
"Angola","Male 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","83.4",""
"Angola","Male 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","84.2",""
"Angola","Male 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","84.1",""
"Angola","Male 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","80.5",""
"Angola","Male 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","80.7",""
"Angola","Male 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","79.4",""
"Angola","Male 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","81.5",""
"Angola","Male 15-24 yr","2006","ILO_KILM Database 5ed_2007","Percent","70.6",""
"Angola","Male 15-24 yr","2005","ILO_KILM Database 5ed_2007","Percent","71.4",""
"Angola","Male 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","70.3",""
"Angola","Male 15-24 yr","2003","ILO_KILM Database 5ed_2007","Percent","68.4",""
"Angola","Male 15-24 yr","2002","ILO_KILM Database 5ed_2007","Percent","70.2",""
"Angola","Male 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","70.0",""
"Angola","Male 15-24 yr","2000","ILO_KILM Database 5ed_2007","Percent","69.7",""
"Angola","Male 15-24 yr","1999","ILO_KILM Database 5ed_2007","Percent","69.2",""
"Angola","Male 15-24 yr","1998","ILO_KILM Database 5ed_2007","Percent","69.5",""
"Angola","Male 15-24 yr","1997","ILO_KILM Database 5ed_2007","Percent","70.9",""
"Angola","Male 15-24 yr","1996","ILO_KILM Database 5ed_2007","Percent","72.6",""
"Angola","Male 15-24 yr","1995","ILO_KILM Database 5ed_2007","Percent","72.2",""
"Angola","Male 15-24 yr","1994","ILO_KILM Database 5ed_2007","Percent","66.8",""
"Angola","Male 15-24 yr","1993","ILO_KILM Database 5ed_2007","Percent","65.8",""
"Angola","Male 15-24 yr","1992","ILO_KILM Database 5ed_2007","Percent","65.1",""
"Angola","Male 15-24 yr","1991","ILO_KILM Database 5ed_2007","Percent","68.0",""
"Argentina","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","49.0",""
"Argentina","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","48.1",""
"Argentina","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","47.1",""
"Argentina","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","46.7",""
"Argentina","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","43.6",""
"Argentina","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","42.6",""
"Argentina","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","41.5",""
"Argentina","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","40.1",""
"Argentina","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","39.4",""
"Argentina","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","39.2",""
"Argentina","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","38.6",""
"Argentina","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","37.4",""
"Argentina","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","36.7",""
"Argentina","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","36.2",""
"Argentina","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","35.9",""
"Argentina","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","35.8",""
"Argentina","Female 15-24 yr","2006","ILO_KILM Database 5ed_2007","Percent","36.4",""
"Argentina","Female 15-24 yr","2005","ILO_KILM Database 5ed_2007","Percent","36.1",""
"Argentina","Female 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","35.8",""
"Argentina","Female 15-24 yr","2003","ILO_KILM Database 5ed_2007","Percent","35.6",""
"Argentina","Female 15-24 yr","2002","ILO_KILM Database 5ed_2007","Percent","32.1",""
"Argentina","Female 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","32.7",""
"Argentina","Female 15-24 yr","2000","ILO_KILM Database 5ed_2007","Percent","32.7",""
"Argentina","Female 15-24 yr","1999","ILO_KILM Database 5ed_2007","Percent","31.8",""
"Argentina","Female 15-24 yr","1998","ILO_KILM Database 5ed_2007","Percent","32.1",""
"Argentina","Female 15-24 yr","1997","ILO_KILM Database 5ed_2007","Percent","32.2",""
"Argentina","Female 15-24 yr","1996","ILO_KILM Database 5ed_2007","Percent","31.4",""
"Argentina","Female 15-24 yr","1995","ILO_KILM Database 5ed_2007","Percent","29.9",""
"Argentina","Female 15-24 yr","1994","ILO_KILM Database 5ed_2007","Percent","30.3",""
"Argentina","Female 15-24 yr","1993","ILO_KILM Database 5ed_2007","Percent","29.9",""
"Argentina","Female 15-24 yr","1992","ILO_KILM Database 5ed_2007","Percent","30.0",""
"Argentina","Female 15-24 yr","1991","ILO_KILM Database 5ed_2007","Percent","29.8",""
"Argentina","Male 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","71.5",""
"Argentina","Male 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","71.5",""
"Argentina","Male 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","71.5",""
"Argentina","Male 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","71.7",""
"Argentina","Male 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","69.4",""
"Argentina","Male 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","69.9",""
"Argentina","Male 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","70.1",""
"Argentina","Male 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","69.7",""
"Argentina","Male 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","70.3",""
"Argentina","Male 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","70.8",""
"Argentina","Male 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","70.8",""
"Argentina","Male 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","70.1",""
"Argentina","Male 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","71.2",""
"Argentina","Male 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","71.7",""
"Argentina","Male 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","72.5",""
"Argentina","Male 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","73.0",""
"Argentina","Male 15-24 yr","2006","ILO_KILM Database 5ed_2007","Percent","55.5",""
"Argentina","Male 15-24 yr","2005","ILO_KILM Database 5ed_2007","Percent","55.7",""
